feature,rf_importance,xgb_importance,avg_importance
mel_spec_std_27,0.0009394815586321759,0.014806308487260883,0.00787289502294653
mel_spec_std_9,0.0010961141231005036,0.014519765719094059,0.007807939921097282
mel_spec_mean_21,0.0015241876382794486,0.013898772949522192,0.00771148029390082
mel_spec_mean_23,0.0012373267512532662,0.013985098127953031,0.007611212439603149
spectral_contrast_std_3,0.001190890900777952,0.01400388747623021,0.007597389188504081
mel_spec_std_75,0.0005374454374439758,0.014641916971992363,0.0075896812047181695
mel_spec_std_4,0.0007645454238943614,0.01439837144095112,0.00758145843242274
mel_spec_mean_2,0.0006943638991173272,0.013872005384076725,0.007283184641597026
mel_spec_std_52,0.0005379256342738062,0.013991108079525557,0.007264516856899682
mel_spec_mean_18,0.0017567193421914372,0.012753275646404787,0.007254997494298112
mel_spec_mean_24,0.001520773710488693,0.012887172612615606,0.00720397316155215
mel_spec_mean_73,0.0014905949649424743,0.01291533847424117,0.007202966719591823
mfcc_std_9,0.0007160271776559534,0.01366463087668473,0.007190329027170342
mel_spec_std_22,0.0008531072531499854,0.013516455846415325,0.0071847815497826555
mel_spec_mean_90,0.0005555487571762746,0.013603737112134695,0.007079642934655485
mel_spec_std_37,0.0005875468664695723,0.013376281871883706,0.0069819143691766394
mfcc_mean_5,0.0010757951828800157,0.01284554638815197,0.006960670785515993
mel_spec_std_116,0.0005524748998144641,0.012995141219686378,0.006773808059750421
mel_spec_mean_14,0.0010461981577511276,0.012441547587513924,0.006743872872632526
mel_spec_mean_116,0.0006881977856406355,0.01278560403311117,0.006736900909375903
mel_spec_mean_109,0.0006899161488935238,0.01276871587403796,0.0067293160114657415
mel_spec_mean_40,0.0007254678658079363,0.012703272260048172,0.006714370062928054
mel_spec_mean_32,0.0009190985155577241,0.0124667121774771,0.006692905346517412
mel_spec_std_16,0.0005955988751056796,0.01264938779852607,0.006622493336815875
mel_spec_std_19,0.0005855703977686518,0.012632626489820805,0.006609098443794728
mel_spec_std_25,0.000598194832778465,0.01248175972564654,0.006539977279212503
mel_spec_mean_22,0.001392088650587416,0.011579257351430979,0.006485673001009197
mel_spec_std_28,0.0007831446446658251,0.01200260878117247,0.006392876712919148
mel_spec_mean_26,0.0007066627357677446,0.011885375461795113,0.006296019098781428
mel_spec_std_50,0.0005288742138495488,0.011852021794766188,0.006190448004307869
mel_spec_std_117,0.0007012651862577224,0.011672964065589687,0.006187114625923705
mel_spec_mean_38,0.00042325536040153255,0.011720860144123435,0.006072057752262484
mel_spec_std_11,0.0005843043653944656,0.011378215562382882,0.005981259963888674
spectral_rolloff_mean,0.0009070653613967813,0.01097458948127248,0.0059408274213346305
mfcc_mean_9,0.0012687243518033923,0.010587213031778281,0.005927968691790837
mel_spec_mean_46,0.001037235626278435,0.010651195718144829,0.005844215672211632
mel_spec_std_42,0.0006700398342000285,0.01092433315617117,0.005797186495185599
mel_spec_std_10,0.0009446999250375334,0.010580957253378901,0.005762828589208217
mel_spec_std_77,0.0009038772799282985,0.010621484538370913,0.0057626809091496055
mel_spec_std_65,0.00041086478518241875,0.011051996441727335,0.005731430613454877
mel_spec_mean_92,0.0007241555036041363,0.01071238433095542,0.005718269917279778
mel_spec_mean_69,0.0004480183443011459,0.010887265882708809,0.005667642113504978
mel_spec_std_33,0.00041068646981252054,0.010842806913635948,0.0056267466917242345
mel_spec_std_53,0.00040054179802016446,0.010385280559686098,0.005392911178853131
mel_spec_mean_83,0.00015364765503717866,0.010440404018895193,0.005297025836966186
